,,,,empirical,-0.068965517,-0.054878049,-0.036082474
,,,,2.33 stdev,-0.053035057,-0.042347166,-0.029584117
Time Period,3,5,10,,0.022761827,0.018174749,0.012697046
1/2/1962,3.7,3.88,4.06,,,,
1/3/1962,3.7,3.87,4.03,,0.00%,-0.26%,-0.74%
1/4/1962,3.69,3.86,3.99,,-0.27%,-0.26%,-0.99%
1/5/1962,3.71,3.89,4.02,,0.54%,0.78%,0.75%
1/8/1962,3.71,3.91,4.03,,0.00%,0.51%,0.25%
1/9/1962,3.74,3.93,4.05,,0.81%,0.51%,0.50%
1/10/1962,3.75,3.94,4.07,,0.27%,0.25%,0.49%
1/11/1962,3.77,3.94,4.08,,0.53%,0.00%,0.25%
1/12/1962,3.76,3.95,4.08,,-0.27%,0.25%,0.00%
1/15/1962,3.79,3.96,4.1,,0.80%,0.25%,0.49%
1/16/1962,3.81,3.98,4.13,,0.53%,0.51%,0.73%
1/17/1962,3.81,3.97,4.12,,0.00%,-0.25%,-0.24%
1/18/1962,3.79,3.96,4.11,,-0.52%,-0.25%,-0.24%
1/19/1962,3.78,3.95,4.11,,-0.26%,-0.25%,0.00%
1/22/1962,3.76,3.93,4.09,,-0.53%,-0.51%,-0.49%
1/23/1962,3.77,3.94,4.11,,0.27%,0.25%,0.49%
1/24/1962,3.76,3.93,4.1,,-0.27%,-0.25%,-0.24%
1/25/1962,3.77,3.94,4.11,,0.27%,0.25%,0.24%
1/26/1962,3.8,3.97,4.11,,0.80%,0.76%,0.00%
1/29/1962,3.8,3.98,4.12,,0.00%,0.25%,0.24%
1/30/1962,3.8,3.98,4.11,,0.00%,0.00%,-0.24%
1/31/1962,3.81,3.99,4.1,,0.26%,0.25%,-0.24%
2/1/1962,3.81,4,4.09,,0.00%,0.25%,-0.24%
2/2/1962,3.77,3.97,4.08,,-1.05%,-0.75%,-0.24%
2/5/1962,3.77,3.96,4.07,,0.00%,-0.25%,-0.25%
2/6/1962,3.77,3.96,4.06,,0.00%,0.00%,-0.25%
2/7/1962,3.77,3.95,4.07,,0.00%,-0.25%,0.25%
2/8/1962,3.75,3.93,4.07,,-0.53%,-0.51%,0.00%
2/9/1962,3.73,3.91,4.05,,-0.53%,-0.51%,-0.49%
2/13/1962,3.72,3.91,4.03,,-0.27%,0.00%,-0.49%
2/14/1962,3.71,3.9,4.03,,-0.27%,-0.26%,0.00%
2/15/1962,3.71,3.9,4.02,,0.00%,0.00%,-0.25%
2/16/1962,3.69,3.88,4.02,,-0.54%,-0.51%,0.00%
2/19/1962,3.67,3.86,4.01,,-0.54%,-0.52%,-0.25%
2/20/1962,3.67,3.88,4.05,,0.00%,0.52%,1.00%
2/21/1962,3.64,3.86,4.03,,-0.82%,-0.52%,-0.49%
2/23/1962,3.6,3.83,4.02,,-1.10%,-0.78%,-0.25%
2/26/1962,3.58,3.8,4,,-0.56%,-0.78%,-0.50%
2/27/1962,3.57,3.8,4.01,,-0.28%,0.00%,0.25%
2/28/1962,3.53,3.77,4,,-1.12%,-0.79%,-0.25%
3/1/1962,3.44,3.71,3.98,,-2.55%,-1.59%,-0.50%
3/2/1962,3.48,3.72,3.98,,1.16%,0.27%,0.00%
3/5/1962,3.53,3.74,4,,1.44%,0.54%,0.50%
3/6/1962,3.52,3.74,4.01,,-0.28%,0.00%,0.25%
3/7/1962,3.52,3.74,4,,0.00%,0.00%,-0.25%
3/8/1962,3.51,3.72,3.98,,-0.28%,-0.53%,-0.50%
3/9/1962,3.53,3.71,3.96,,0.57%,-0.27%,-0.50%
3/12/1962,3.54,3.73,3.94,,0.28%,0.54%,-0.51%
3/13/1962,3.53,3.7,3.92,,-0.28%,-0.80%,-0.51%
3/14/1962,3.53,3.72,3.93,,0.00%,0.54%,0.26%
3/15/1962,3.52,3.73,3.96,,-0.28%,0.27%,0.76%
3/16/1962,3.48,3.72,3.96,,-1.14%,-0.27%,0.00%
3/19/1962,3.44,3.71,3.93,,-1.15%,-0.27%,-0.76%
3/20/1962,3.41,3.67,3.91,,-0.87%,-1.08%,-0.51%
3/21/1962,3.37,3.61,3.86,,-1.17%,-1.63%,-1.28%
3/22/1962,3.29,3.58,3.83,,-2.37%,-0.83%,-0.78%
3/23/1962,3.33,3.62,3.87,,1.22%,1.12%,1.04%
3/26/1962,3.37,3.65,3.89,,1.20%,0.83%,0.52%
3/27/1962,3.39,3.65,3.9,,0.59%,0.00%,0.26%
3/28/1962,3.39,3.64,3.9,,0.00%,-0.27%,0.00%
3/29/1962,3.4,3.64,3.9,,0.29%,0.00%,0.00%
3/30/1962,3.39,3.61,3.86,,-0.29%,-0.82%,-1.03%
4/2/1962,3.38,3.58,3.86,,-0.29%,-0.83%,0.00%
4/3/1962,3.36,3.55,3.83,,-0.59%,-0.84%,-0.78%
4/4/1962,3.28,3.51,3.78,,-2.38%,-1.13%,-1.31%
4/5/1962,3.34,3.56,3.84,,1.83%,1.42%,1.59%
4/6/1962,3.32,3.55,3.81,,-0.60%,-0.28%,-0.78%
4/9/1962,3.33,3.57,3.83,,0.30%,0.56%,0.52%
4/10/1962,3.36,3.57,3.83,,0.90%,0.00%,0.00%
4/11/1962,3.41,3.61,3.87,,1.49%,1.12%,1.04%
4/12/1962,3.4,3.61,3.86,,-0.29%,0.00%,-0.26%
4/13/1962,3.38,3.6,3.85,,-0.59%,-0.28%,-0.26%
4/16/1962,3.37,3.6,3.83,,-0.30%,0.00%,-0.52%
4/17/1962,3.36,3.6,3.82,,-0.30%,0.00%,-0.26%
4/18/1962,3.35,3.6,3.81,,-0.30%,0.00%,-0.26%
4/19/1962,3.37,3.6,3.82,,0.60%,0.00%,0.26%
4/23/1962,3.4,3.63,3.86,,0.89%,0.83%,1.05%
4/24/1962,3.42,3.65,3.87,,0.59%,0.55%,0.26%
4/25/1962,3.43,3.66,3.88,,0.29%,0.27%,0.26%
4/26/1962,3.43,3.66,3.89,,0.00%,0.00%,0.26%
4/27/1962,3.45,3.64,3.86,,0.58%,-0.55%,-0.77%
4/30/1962,3.47,3.64,3.86,,0.58%,0.00%,0.00%
5/1/1962,3.45,3.63,3.85,,-0.58%,-0.27%,-0.26%
5/2/1962,3.44,3.64,3.86,,-0.29%,0.28%,0.26%
5/3/1962,3.42,3.64,3.86,,-0.58%,0.00%,0.00%
